chick_ring_number,hatch_year,hatch_nest_breed_ID,hatch_Area,hatch_Box,hatch_mom_Ring,hatch_nest_dad_Ring,Extra-pair_paternity,Extra-pair_dad_ring,genetic_dad_ring_(WP_or_EP),hatch_nest_LD,hatch_nest_CS,hatch_nest_OH,d0_hatch_nest_brood_size,d14_hatch_nest_brood_size,rear_nest_breed_ID,rear_area,rear_Box,rear_mom_Ring,rear_dad_Ring,rear_nest_trt,home_or_away,rear_nest_LD,rear_nest_CS,rear_nest_OH,rear_d0_rear_nest_brood_size,rear_Cs_out,rear_Cs_in,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,number_chicks_fledged_from_rear_nest,Date_of_day14,day_14_tarsus_length,day_14_weight,day14_measurer,chick_sex_molec,chick_survival_to_first_breed_season
P804016,2001,201194,C,C130,P803008,P803007,1,.,.,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,16.6,8,1,2,0
P804017,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,15.5,8.1,1,2,0
P804018,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,17.1,10.3,1,2,0
P804019,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,17.6,8.4,1,1,0
P804020,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,16.3,8.1,1,1,0
P804021,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,16.4,8.4,1,2,0
P804022,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,17.7,9.7,1,1,0
P804023,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,16.8,8,1,1,0
P804024,2001,201167,C,C26,P803005,P803006,1,P803012,P803012,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,16.6,8.3,1,2,0
P804025,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,15.6,6.5,1,2,0
P804026,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,16.7,8,1,2,0
P804027,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,17.2,9.1,1,2,0
P804028,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201194,C,C130,P803008,P803007,6,1,15,10,40,10,7,4,-3,7,7,7,54,18.2,10.8,1,2,0
P804029,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,16.7,10.6,1,1,0
P804030,2001,201167,C,C26,P803005,P803006,1,P804790,P804790,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,17,9.3,1,2,0
P804031,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,16.8,10.9,1,1,0
P804032,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201194,C,C130,P803008,P803007,6,1,15,10,40,10,7,4,-3,7,7,7,54,17.6,10.8,1,2,0
P804033,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201194,C,C130,P803008,P803007,6,1,15,10,40,10,7,4,-3,7,7,7,54,18.1,11.2,1,2,1
P804034,2001,201167,C,C26,P803005,P803006,1,P803012,P803012,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,17.3,10.2,1,2,0
P804035,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.7,11.2,1,.,0
P804036,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.9,10.2,1,.,0
P804037,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.6,10.4,1,.,0
P804038,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,18,11.2,1,.,0
P804039,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,17.3,10.7,1,.,0
P804040,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.8,10.4,1,.,0
P804041,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,17.2,11.2,1,.,0
P804042,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.8,11.3,1,2,1
P804043,2001,201417,W,W43,P803018,P803019,2,.,P803019,13,13,40,11,3,201417,W,W43,P803018,P803019,6,1,13,13,40,11,6,5,-1,10,7,7,55,16.8,10.6,1,1,0
P804044,2001,201417,W,W43,P803018,P803019,2,.,P803019,13,13,40,11,3,201417,W,W43,P803018,P803019,6,1,13,13,40,11,6,5,-1,10,7,7,55,16.4,9.6,1,1,0
P804045,2001,201417,W,W43,P803018,P803019,2,.,P803019,13,13,40,11,3,201417,W,W43,P803018,P803019,6,1,13,13,40,11,6,5,-1,10,7,7,55,16.8,9.9,1,1,0
P804046,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.7,10.4,1,2,0
P804047,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.2,9.9,1,2,0
P804048,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.2,10.3,1,1,0
P804101,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,17.9,9.5,4,2,0
P804102,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,16,8.5,4,1,0
P804103,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.3,7.9,4,1,0
P804104,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,15.8,8,4,1,0
P804105,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,17.3,8.8,4,2,0
P804106,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.5,9,4,2,0
P804107,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.1,8.3,4,2,0
P804108,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.1,8.5,4,1,0
P804109,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,16.6,8.2,4,1,0
P804110,2001,201123,B,B100,.,P803015,1,.,.,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.7,9.3,4,2,0
P804111,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,16.6,9.8,4,1,0
P804112,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.2,7.4,4,2,0
P804113,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,16.6,8.4,4,1,0
P804114,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,17.1,9,4,2,0
P804115,2001,201123,B,B100,.,P803015,1,.,.,12,12,40,11,11,201288,MP,MP55,P803016,P803017,6,2,15,12,40,11,7,4,-3,8,8,8,54,16.7,11.5,4,1,1
P804116,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201288,MP,MP55,P803016,P803017,6,1,15,12,40,11,7,4,-3,8,8,8,54,17.2,10.8,4,1,0
P804117,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201288,MP,MP55,P803016,P803017,6,2,15,12,40,11,7,4,-3,8,8,8,54,17.8,12.2,4,2,0
P804118,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201288,MP,MP55,P803016,P803017,6,2,15,12,40,11,7,4,-3,8,8,8,54,17.1,10.9,4,1,0
P804119,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201288,MP,MP55,P803016,P803017,6,1,15,12,40,11,7,4,-3,8,8,8,54,18.1,11.8,4,2,1
P804120,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201288,MP,MP55,P803016,P803017,6,2,15,12,40,11,7,4,-3,8,8,8,54,17.2,11.4,4,1,0
P804121,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201288,MP,MP55,P803016,P803017,6,1,15,12,40,11,7,4,-3,8,8,8,54,17.2,11.3,4,1,0
P804122,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201288,MP,MP55,P803016,P803017,6,1,15,12,40,11,7,4,-3,8,8,8,54,17.2,12.1,4,2,0
P804142,2001,201319,O,O27,P803035,.,.,.,.,21,9,43,6,5,201319,O,O27,P803035,.,7,1,21,9,43,6,0,0,0,6,5,5,56,17.32,8.7,2,.,0
P804143,2001,201319,O,O27,P803035,.,.,.,.,21,9,43,6,5,201319,O,O27,P803035,.,7,1,21,9,43,6,0,0,0,6,5,5,56,16.9,9.4,2,.,0
P804144,2001,201319,O,O27,P803035,.,.,.,.,21,9,43,6,5,201319,O,O27,P803035,.,7,1,21,9,43,6,0,0,0,6,5,5,56,16.9,8.2,2,.,0
P804145,2001,201319,O,O27,P803035,.,.,.,.,21,9,43,6,5,201319,O,O27,P803035,.,7,1,21,9,43,6,0,0,0,6,5,5,56,16.4,8.4,2,.,0
P804146,2001,201319,O,O27,P803035,.,.,.,.,21,9,43,6,5,201319,O,O27,P803035,.,7,1,21,9,43,6,0,0,0,6,5,5,56,18.1,10,2,.,0
P804147,2001,201122,B,B99A,.,.,2,.,.,21,9,43,.,.,201393,SW,SW113,P803040,.,6,2,19,10,43,10,6,3,-3,7,6,6,56,17.9,10.1,2,1,0
P804148,2001,201122,B,B99A,.,.,2,.,.,21,9,43,.,.,201393,SW,SW113,P803040,.,6,2,19,10,43,10,6,3,-3,7,6,6,56,17.8,11.6,2,2,0
P804149,2001,201393,SW,SW113,P803040,.,.,.,.,19,10,43,10,3,201393,SW,SW113,P803040,.,6,1,19,10,43,10,6,3,-3,7,6,6,56,17.5,10.3,2,.,0
P804150,2001,201122,B,B99A,.,.,2,.,.,21,9,43,.,.,201393,SW,SW113,P803040,.,6,2,19,10,43,10,6,3,-3,7,6,6,56,18,11.5,2,2,0
P804151,2001,201393,SW,SW113,P803040,.,.,.,.,19,10,43,10,3,201393,SW,SW113,P803040,.,6,1,19,10,43,10,6,3,-3,7,6,6,56,16.4,8.7,2,.,0
P804152,2001,201393,SW,SW113,P803040,.,.,.,.,19,10,43,10,3,201393,SW,SW113,P803040,.,6,1,19,10,43,10,6,3,-3,7,6,6,56,16.3,8.8,2,.,0
P804166,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.5,11.1,2,1,0
P804167,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,17.4,11.7,2,2,1
P804168,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.5,10.9,2,1,0
P804169,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,17.4,11.5,2,2,0
P804170,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.8,11.2,2,1,0
P804171,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.6,11,2,1,0
P804172,2001,201145,B,B194,P803043,K604560,1,.,.,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.4,10.8,2,1,0
P804173,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.7,11.2,2,1,0
P804174,2001,201145,B,B194,P803043,K604560,1,.,.,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,17.4,11.1,2,2,0
P804175,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,17.7,11.2,2,2,1
P804176,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,17.6,10.2,2,2,0
P804177,2001,201145,B,B194,P803043,K604560,2,.,K604560,15,12,44,12,12,201145,B,B194,P803043,K604560,7,1,15,12,44,12,0,0,0,12,12,12,56,16.8,10.8,2,1,0
P804178,2001,201414,W,W37,P803056,.,.,.,.,18,3,45,2,2,201414,W,W37,P803056,.,7,1,18,3,45,2,0,0,0,2,2,2,59,17.5,11.5,1,.,0
P804179,2001,201414,W,W37,P803056,.,.,.,.,18,3,45,2,2,201414,W,W37,P803056,.,7,1,18,3,45,2,0,0,0,2,2,2,59,17.1,10.6,1,.,0
P804180,2001,201260,E,E51B,P803087,P803086,2,.,P803086,18,14,46,13,5,201260,E,E51B,P803087,P803086,5,1,18,14,46,13,6,9,3,16,13,13,60,16,9.6,1,1,0
P804181,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,17.2,11.3,1,1,0
P804183,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,17.3,11.8,1,2,0
P804184,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,16.8,10.8,1,1,0
P804185,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,16.8,10.4,1,1,0
P804186,2001,201260,E,E51B,P803087,P803086,2,.,P803086,18,14,46,13,5,201260,E,E51B,P803087,P803086,5,1,18,14,46,13,6,9,3,16,13,13,60,16.7,9.9,1,2,0
P804187,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,16.7,10.3,1,1,0
P804188,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,18.3,11.5,1,2,0
P804189,2001,201260,E,E51B,P803087,P803086,2,.,P803086,18,14,46,13,5,201260,E,E51B,P803087,P803086,5,1,18,14,46,13,6,9,3,16,13,13,60,16.9,11.2,1,2,0
P804190,2001,201260,E,E51B,P803087,P803086,2,.,P803086,18,14,46,13,5,201260,E,E51B,P803087,P803086,5,1,18,14,46,13,6,9,3,16,13,13,60,16.4,10.1,1,1,0
P804191,2001,201325,O,O38B,.,.,2,.,.,18,15,46,.,.,201260,E,E51B,P803087,P803086,5,2,18,14,46,13,6,9,3,16,13,13,60,16.5,9.7,1,1,0
P804192,2001,201260,E,E51B,P803087,P803086,2,.,P803086,18,14,46,13,5,201260,E,E51B,P803087,P803086,5,1,18,14,46,13,6,9,3,16,13,13,60,16.2,10,1,1,1
P804193,2001,201428,W,W60,P803080,P803081,2,.,P803081,20,9,46,9,9,201225,CP,CP40A,P803102,P803078,6,2,21,12,46,11,6,3,-3,8,7,7,60,16.8,10.8,2,1,0
P804194,2001,201428,W,W60,P803080,P803081,2,.,P803081,20,9,46,9,9,201225,CP,CP40A,P803102,P803078,6,2,21,12,46,11,6,3,-3,8,7,7,60,17.3,11.4,2,2,0
P804195,2001,201428,W,W60,P803080,P803081,2,.,P803081,20,9,46,9,9,201225,CP,CP40A,P803102,P803078,6,2,21,12,46,11,6,3,-3,8,7,7,60,16.3,11.2,2,1,0
P804196,2001,201225,CP,CP40A,P803102,P803078,1,.,.,21,12,46,11,10,201225,CP,CP40A,P803102,P803078,6,1,21,12,46,11,6,3,-3,8,7,7,60,17.3,12.1,2,2,0
P804197,2001,201225,CP,CP40A,P803102,P803078,2,.,P803078,21,12,46,11,10,201225,CP,CP40A,P803102,P803078,6,1,21,12,46,11,6,3,-3,8,7,7,60,17.2,11.2,2,2,0
P804198,2001,201225,CP,CP40A,P803102,P803078,2,.,P803078,21,12,46,11,10,201225,CP,CP40A,P803102,P803078,6,1,21,12,46,11,6,3,-3,8,7,7,60,17.2,11.3,2,1,0
P804199,2001,201225,CP,CP40A,P803102,P803078,2,.,P803078,21,12,46,11,10,201225,CP,CP40A,P803102,P803078,6,1,21,12,46,11,6,3,-3,8,7,7,60,16.8,11.3,2,2,0
P804224,2001,201337,O,O65,P803034,P803046,.,.,P803046,18,11,43,10,4,201337,O,O65,P803034,P803046,7,1,18,11,43,10,0,0,0,10,6,6,57,16.3,10,1,.,0
P804225,2001,201337,O,O65,P803034,P803046,.,.,P803046,18,11,43,10,4,201337,O,O65,P803034,P803046,7,1,18,11,43,10,0,0,0,10,6,6,57,16.9,10.2,1,.,0
P804226,2001,201337,O,O65,P803034,P803046,.,.,P803046,18,11,43,10,4,201337,O,O65,P803034,P803046,7,1,18,11,43,10,0,0,0,10,6,6,57,16.7,10,1,.,0
P804227,2001,201337,O,O65,P803034,P803046,.,.,P803046,18,11,43,10,4,201337,O,O65,P803034,P803046,7,1,18,11,43,10,0,0,0,10,6,6,57,16.8,10.4,1,.,0
P804257,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,17.1,10.5,1,1,0
P804258,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,17.5,11.3,1,2,0
P804259,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,17,10.3,1,.,0
P804260,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,17,10.8,1,.,0
P804261,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,16.4,10.5,1,.,0
P804262,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,16.4,9.9,1,.,0
P804263,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,17.1,10.9,1,1,0
P804264,2001,201397,SW,SW128,P803048,P803050,.,.,P803050,18,10,44,10,8,201397,SW,SW128,P803048,P803050,7,1,18,10,44,10,0,0,0,10,8,8,58,17.2,10.7,1,.,0
P804265,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,17.5,11.1,1,2,0
P804266,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,17.3,10.5,1,2,0
P804267,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,16.8,9.9,1,1,0
P804268,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,17,10,1,1,0
P804269,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,16.3,10.2,1,1,0
P804270,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,16.3,9.9,1,1,0
P804271,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,16.8,10,1,1,0
P804272,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,17.2,9.9,1,1,0
P804273,2001,201199,C,C143,P803042,P803051,.,.,P803051,22,9,44,.,9,201199,C,C143,P803042,P803051,7,1,22,9,44,.,0,0,0,.,9,9,58,18.1,10.7,1,2,0
P804274,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.1,9.9,1,.,0
P804275,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.8,11,1,.,0
P804276,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.2,10.3,1,.,0
P804277,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,18.1,11.2,1,.,0
P804278,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.8,11.1,1,.,0
P804279,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.6,11.6,1,.,0
P804280,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.1,9.6,1,.,0
P804281,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17,9.8,1,.,0
P804282,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.6,10.6,1,.,0
P804283,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,17.8,10.8,1,.,0
P804284,2001,201185,C,C111,P803052,.,.,.,.,16,12,44,11,11,201185,C,C111,P803052,.,7,1,16,12,44,11,0,0,0,11,11,9,58,18.3,11.4,1,.,0
P804285,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.3,9.5,1,1,0
P804286,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.7,10.6,1,2,0
P804287,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.2,9.9,1,.,0
P804288,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.4,10.7,1,2,0
P804289,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.3,11.1,1,2,0
P804290,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.3,10.6,1,.,0
P804291,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,16.7,9.9,1,1,0
P804292,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,17.1,11,1,2,0
P804293,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,16.8,9.8,1,1,0
P804294,2001,201276,MP,MP16,P803044,.,.,.,.,18,12,44,11,11,201276,MP,MP16,P803044,.,7,1,18,12,44,11,0,0,0,11,11,11,58,16.8,9.8,1,1,0
